"Translate 'It is 3 o'clock'.","Είναι τρεις.","Treis (Fem)."
"Translate 'It is 1 o'clock'.","Είναι μία.","Mia (Fem)."
"Translate 'Half past 5'.","Πέντε και μισή.","Misi."
"Translate 'Monday'.","Δευτέρα.","Deftera."
"Translate 'Sunday'.","Κυριακή.","Kyriaki."
"Translate 'I wake up'.","Ξυπνάω.","Xypnao."
"Translate 'I sleep'.","Κοιμάμαι.","Koimamai."
"Translate 'What time is it?'.","Τι ώρα είναι;","Ti ora."
"Translate 'I go to work'.","Πάω δουλειά.","Pao."
"Translate 'On Monday'.","Την Δευτέρα.","Accusative."
