"Transliterate: Αθήνα","Athena (Athens)","Α-θή-να (A-thi-na). Theta makes the 'th' sound."
"Transliterate: Πέτρος","Petros (Peter)","Πέ-τρος. Rho is rolled."
"Transliterate: Ελένη","Eleni (Helen)","Ε-λέ-νη. Lambda is a light 'L'."
"Transliterate: Ελλάδα","Ellada (Greece)","Ελ-λά-δα. Double Lambda is pronounced as a single 'L'."
"Transliterate: Κρήτη","Kriti (Crete)","Κρή-τη. Eta (η) makes the 'i' sound."
"In the word 'Αντώνης', how is 'ντ' pronounced?","It is pronounced like 'd'.","The combination 'ντ' makes a 'd' sound, especially at the start of a syllable."
"Where is the stress in the word 'Αθήνα'?","On the 'i' sound (Eta).","The accent mark is on the 'ή'."
"Where is the stress in the word 'Πέτρος' (Petros)?","On the 'e' sound (Epsilon).","The accent mark is on the 'έ'."
"If a Greek word has an accent mark on a vowel, what does that mean?","You must stress (emphasize) that syllable.","Modern Greek stress is dynamic; getting it wrong can change the meaning."
"Transliterate: Ευχαριστώ (Thank you)","Efcharisto","Ευ (Ef) + χα (cha) + ρι (ri) + στω (sto). 'Eu' is 'ef' here because 'ch' is unvoiced."
"Transliterate: Νερό (Water)","Nero","Νε-ρό. Nu is 'n', Rho is 'r'."
"Transliterate: Ψωμί (Bread)","Psomi","Ψω-μί. Psi is 'ps' like in 'lips'."
"Transliterate: Γάτα (Cat)","Gata","Γά-τα. Gamma is a hard 'g' before 'a'."
"Transliterate: ΟΧΙ (No)","Ochi","Ό-χι. Chi is a guttural 'h'."
"Transliterate: ΝΑΙ (Yes)","Ne","Ναι (Ne). 'AI' is pronounced 'e'."
