"How do you pronounce 'ΜΠ' at the start of a word?","B (as in Ball)","Mu + Pi creates a 'B' sound."
"How do you pronounce 'ΝΤ' at the start of a word?","D (as in Dog)","Nu + Tau creates a 'D' sound."
"How do you pronounce 'ΟΥ'?","oo (as in Moon)","Omicron + Upsilon together make 'oo'."
"How do you pronounce 'ΑΙ'?","e (as in Met)","Alpha + Iota together make a short 'e' sound."
"How do you pronounce 'ΕΙ'?","i (as in Machine)","Epsilon + Iota make an 'ee' sound."
"How do you pronounce 'ΟΙ'?","i (as in Machine)","Omicron + Iota make an 'ee' sound."
"Translate 'Ναι'.","Yes","Pronounced 'Ne'."
"Translate 'Μπάλα'.","Ball","Pronounced 'Bala'."
"Translate 'Ντομάτα'.","Tomato","Pronounced 'Domata'."
"The sound 'i' (ee) can be written in many ways. Which of these is NOT an 'i' sound?","ΑΙ (e)","Eta, Iota, Upsilon, EI, OI are all 'i' sounds."
