"Translate 'I have' to Greek.","Έχω (Exo)","First person singular."
"Translate 'You have' (singular) to Greek.","Έχεις (Exeis)","Second person singular."
"Translate 'He/She/It has' to Greek.","Έχει (Exei)","Third person singular."
"Translate 'We have' to Greek.","Έχουμε (Exoume)","First person plural."
"Translate 'They have' to Greek.","Έχουν (Exoun)","Third person plural."
"Translate: 'I have a book'.","Έχω ένα βιβλίο.","'Book' is the object (Accusative case)."
"How do you say 'I am hungry' in Greek?","Έχω πείνα (Literally 'I have hunger').","We use 'Have' for physical states like hunger/thirst."
"Grammatically, the object of 'Exo' (to have) is in which case?","Accusative","Because it is the direct object of the verb."
"Translate: 'Do you have time?'","Έχεις χρόνο;","'Xrono' is in Accusative."
"Translate: 'The children represent hunger' (Make no sense? No, 'The children are hungry').","Τα παιδιά έχουν πείνα.","Literally 'The children have hunger'."
