"Plural of 'O Filos'.","Οι Φίλοι.","-oi."
"Plural of 'O Dromos'.","Οι δρόμοι.","-oi."
"Plural of 'O Anthropos'.","Οι άνθρωποι.","-oi."
"Translate 'There are'.","Υπάρχουν.","Plural."
"Translate 'There is'.","Υπάρχει.","Singular."
"Article Plural Masculine?","Οι (Oi).","Same sound as Fem Sg H, but spelled Oi."
"Translate 'The friends'.","Οι φίλοι.","Oi."
"Translate 'Many friends'.","Πολλοί φίλοι.","Polloi."
"Is 'Yparxei' used for Plural?","No, use 'Yparxoun'.","Strict agreement."
"Plural of 'O skilos' (Dog).","Οι σκύλοι.","-oi."
