"What is the Modern Greek verb for 'to be'?","Είμαι (Eimai)","It is an irregular verb."
"Translate 'I am' to Greek.","Είμαι","Eimai [ime]"
"Translate 'You are' (singular/informal) to Greek.","Είσαι","Eisai [ise]"
"Translate 'He/She/It is' to Greek.","Είναι","Einai [ine]"
"Translate 'We are' to Greek.","Είμαστε","Eimaste [imaste]"
"Translate 'You are' (plural/formal) to Greek.","Είστε","Eiste [iste]"
"Translate 'They are' to Greek.","Είναι","Einai [ine] (Same as singular 'He is'!)"
"Do you need to say 'Εγώ' (I) when saying 'I am'?","No, the verb 'Είμαι' already includes the 'I'.","This is the 'Optional Subject' rule."
"What is 'Inflection'?","The change in a word's ending to show grammatical meaning.","Greek words change form based on number, case, or person."
"Translate: 'I am from Italy'.","Είμαι από την Ιταλία.","Eimai apo tin Italia."
