"What is the plural of 'Ο δρόμος'?","Οι δρόμοι (Oi dromoi)","-os nouns become -oi in the plural."
"What is the plural of 'Ο φίλος'?","Οι φίλοι (Oi filoi)","-os nouns become -oi."
"What is the plural of 'Ο άντρας'?","Οι άντρες (Oi antres)","-as nouns become -es."
"What is the plural of 'Ο χάρτης'?","Οι χάρτες (Oi xartes)","-is nouns become -es."
"Translate 'The friends' (Nominative).","Οι φίλοι","Article 'Oi' + Noun '-oi'."
"Translate 'I see the friends' (Accusative).","Βλέπω τους φίλους.","Object Plural: 'Tous' + '-ous'."
"What is the Accusative Plural ending for -os nouns?","-ους (-ous)","Dromous, Filous, Anthropous."
"What is the Accusative Plural ending for -as/-is nouns?","-ες (-es)","Antres, Xartes, Mathites."
"Translate 'The men are here'.","Οι άντρες είναι εδώ.","Subject Plural (-es)."
"Translate 'I see the men'.","Βλέπω τους άντρες.","Object Plural (-es). Note: Same ending as Subject for this group!"
