"What are the three genders in Modern Greek?","Masculine, Feminine, Neuter","Every noun must belong to one of these."
"What is the definite article for Masculine nouns?","Ο (O)","Example: Ο δρόμος (The street)."
"What is the definite article for Feminine nouns?","Η (H)","Example: Η ώρα (The hour)."
"What is the definite article for Neuter nouns?","ΤΟ (To)","Example: Το βιβλίο (The book)."
"What gender is 'Καρέκλα' (Chair)?","Feminine (Η καρέκλα)","It is grammatically feminine, regardless of being an object."
"What gender is 'Καφές' (Coffee)?","Masculine (Ο καφές)","Grammatical gender often implies nothing about biology."
"What gender is 'Παιδί' (Child)?","Neuter (Το παιδί)","Grammatically it is a 'small thing'."
"What gender are new loanwords like 'Computer' usually assigned?","Neuter (Το κομπιούτερ)","Foreign words that don't fit Greek endings usually become Neuter."
"Why is 'Pizza' (Πίτσα) Feminine?","Because it ends in -a, like many Greek feminine words.","It adapted to the language."
"Analyze the gender: ____ Άντρας (Man)","Ο (Masculine)","Ο Άντρας"
"Analyze the gender: ____ Ζώνη (Belt)","Η (Feminine)","Η Ζώνη"
"Analyze the gender: ____ Νερό (Water)","Το (Neuter)","Το Νερό"
