"What case is the SUBJECT of a sentence?","Nominative","The 'doer' or the main noun "
"What case is the OBJECT of a sentence?","Accusative","The receiver of the action."
"For NEUTER nouns (like 'Vivlio'), how does the Accusative singular differ from Nominative?","It doesn't. They are identical.","Neuter nouns have the same form for Subject and Object."
"Translate: 'I want the book'.","Θέλω το βιβλίο.","'Vivlio' is the object (Accusative)."
"Translate: 'The book is old'.","Το βιβλίο είναι παλιό.","'Vivlio' is the subject (Nominative)."
"What is the plural of 'Το αμάξι' (The car)?","Τα αμάξια","Neuter nouns in -i often become -ia."
"What is the plural of 'Το σπίτι' (The house)?","Τα σπίτια","Neuter nouns in -i often become -ia."
"Are words for 'Money' (Lefta) usually singular or plural in Greek?","Always Plural (Τα λεφτά).","Different from English!"
"Translate: 'I pay with the money'.","Πληρώνω με τα λεφτά.","'Lefta' is Accusative Plural (after preposition)."
"Translate: 'I see the cars'.","Βλέπω τα αμάξια.","Accusative Plural."
