"Translate 'Red'.","Κόκκινο.","Variable."
"Translate 'White'.","Άσπρο.","Variable."
"Translate 'Black'.","Μαύρο.","Variable."
"Translate 'Blue'.","Μπλε.","Invariable (Foreign)."
"Translate 'Green'.","Πράσινο.","Variable."
"Translate 'Pink'.","Ροζ.","Invariable."
"Translate 'The black car'.","Το μαύρο αυτοκίνητο.","Agree with Car (Neuter)."
"Translate 'The blue sea'.","Η μπλε θάλασσα.","Ble doesn't change."
"Translate 'The white house'.","Το άσπρο σπίτι.","Aspro."
"Translate 'Yellow'.","Κίτρινο.","Variable."
